site;behaviour;category;complexity;presence;ref
Bwindi;marrow_pick;vertebrates;1;0;
Bwindi;nut_cracking;nut;2;0;
Bwindi;stone_throwing;communication;1;0;
Bwindi;termite_eating_without_tools;termite;0;0;
Bwindi;termite_fishing_with_tool;termite;1;0;
Bwindi;underground_perforation_with_toolset;perforate honey/termites;2;0;
Bwindi;water_dipping;water;1;0;
Comoe;accumulative_stone_throwing;communication;2;1;"\Lapuente et al. 2016 Fluid Dipping Technology of Chimpanzees in Comoe National Park, Ivory Coast American Journal of Primatology 79: e22628\"""""
Comoe;algae_fishing_with_tool;algae;1;0;K?hl et al. 2016 Chimpanzee Accumulative Stone Throwing Scientific Reports 6: 22219
Comoe;ant_dipping_with_tool;ant;1;1;
Comoe;ant_eating_without_tools;ant;0;0;
Comoe;ant_fishing_with_tool;ant;1;1;
Comoe;cave_use;thermoregulation;0;1;
Comoe;ground_nest;ground protection;0;0;
Comoe;honey_aerial_with_tool;honey;1;1;
Comoe;honey_aerial_with_toolset;honey;2;0;
Comoe;honey_eating_without_tools;honey;0;0;
Comoe;leaf_clipping;communication;1;0;
Comoe;leaf_cushion;ground protection;0;0;
Comoe;leaf_sponge;water;1;1;
Comoe;marrow_pick;vertebrates;1;0;
Comoe;nut_cracking;nut;2;0;
Comoe;stone_throwing;communication;1;0;
Comoe;termite_eating_without_tools;termite;0;0;
Comoe;termite_fishing_with_tool;termite;1;1;
Comoe;underground_perforation_with_toolset;perforate honey/termites;2;0;
Comoe;water_dipping;water;1;1;
Conkouati;accumulative_stone_throwing;communication;2;0;
Conkouati;algae_fishing_with_tool;algae;1;0;
Conkouati;ant_dipping_with_tool;ant;1;0;
Conkouati;ant_eating_without_tools;ant;0;0;
Conkouati;ant_fishing_with_tool;ant;1;0;
Conkouati;cave_use;thermoregulation;0;0;
Conkouati;ground_nest;ground protection;0;0;
Conkouati;honey_aerial_with_tool;honey;1;1;
Conkouati;honey_aerial_with_toolset;honey;2;1;
Conkouati;honey_eating_without_tools;honey;0;0;
Conkouati;leaf_clipping;communication;1;0;
Conkouati;leaf_cushion;ground protection;0;0;
Conkouati;leaf_sponge;water;1;0;
Conkouati;marrow_pick;vertebrates;1;0;
Conkouati;nut_cracking;nut;2;0;
Conkouati;stone_throwing;communication;1;0;
Conkouati;termite_eating_without_tools;termite;0;0;
Conkouati;termite_fishing_with_tool;termite;1;0;
Conkouati;underground_perforation_with_toolset;perforate honey/termites;2;0;
Conkouati;water_dipping;water;1;0;
Dindefelo;accumulative_stone_throwing;communication;2;0;PanAf Data
Dindefelo;algae_fishing_with_tool;algae;1;1;
Dindefelo;ant_dipping_with_tool;ant;1;1;
Dindefelo;ant_eating_without_tools;ant;0;1;
Dindefelo;ant_fishing_with_tool;ant;1;0;
Dindefelo;cave_use;thermoregulation;0;1;
Dindefelo;ground_nest;ground protection;0;0;
Dindefelo;honey_aerial_with_tool;honey;1;0;
Dindefelo;honey_aerial_with_toolset;honey;2;0;
Dindefelo;honey_eating_without_tools;honey;0;0;
Dindefelo;leaf_clipping;communication;1;0;
Dindefelo;leaf_cushion;ground protection;0;0;
Dindefelo;leaf_sponge;water;1;0;
Dindefelo;marrow_pick;vertebrates;1;0;
Dindefelo;nut_cracking;nut;2;0;
Dindefelo;stone_throwing;communication;1;0;
Dindefelo;termite_eating_without_tools;termite;0;0;
Dindefelo;termite_fishing_with_tool;termite;1;1;Boesch et al 2020
Dindefelo;underground_perforation_with_toolset;perforate honey/termites;2;0;
Dindefelo;water_dipping;water;1;0;
Djouroutou;accumulative_stone_throwing;communication;2;0;PanAf Data
Djouroutou;algae_fishing_with_tool;algae;1;0;K?hl et al. 2016 Chimpanzee Accumulative Stone Throwing Scientific Reports 6: 22219
Djouroutou;ant_dipping_with_tool;ant;1;0;
Djouroutou;ant_eating_without_tools;ant;0;0;
Djouroutou;ant_fishing_with_tool;ant;1;0;
Djouroutou;cave_use;thermoregulation;0;0;
Djouroutou;ground_nest;ground protection;0;0;
Djouroutou;honey_aerial_with_tool;honey;1;0;
Djouroutou;honey_aerial_with_toolset;honey;2;0;
Djouroutou;honey_eating_without_tools;honey;0;0;
Djouroutou;leaf_clipping;communication;1;0;
Djouroutou;leaf_cushion;ground protection;0;0;
Djouroutou;leaf_sponge;water;1;0;
Djouroutou;marrow_pick;vertebrates;1;0;
Djouroutou;nut_cracking;nut;2;1;
Djouroutou;stone_throwing;communication;1;0;
Djouroutou;termite_eating_without_tools;termite;0;0;
Djouroutou;termite_fishing_with_tool;termite;1;0;
Djouroutou;underground_perforation_with_toolset;perforate honey/termites;2;0;
Djouroutou;water_dipping;water;1;0;
EastNimba;accumulative_stone_throwing;communication;2;1;PanAf Data
EastNimba;algae_fishing_with_tool;algae;1;0;Beatty 1951 A Note on the Behavior of the Chimpanzee Journal of Mammology 32: 118
EastNimba;ant_dipping_with_tool;ant;1;0;
EastNimba;ant_eating_without_tools;ant;0;0;
EastNimba;ant_fishing_with_tool;ant;1;0;
EastNimba;cave_use;thermoregulation;0;0;
EastNimba;ground_nest;ground protection;0;1;
EastNimba;honey_aerial_with_tool;honey;1;0;
EastNimba;honey_aerial_with_toolset;honey;2;0;
EastNimba;honey_eating_without_tools;honey;0;0;
EastNimba;leaf_clipping;communication;1;1;
EastNimba;leaf_cushion;ground protection;0;0;
EastNimba;leaf_sponge;water;1;0;
EastNimba;marrow_pick;vertebrates;1;0;
EastNimba;nut_cracking;nut;2;1;
EastNimba;stone_throwing;communication;1;0;
EastNimba;termite_eating_without_tools;termite;0;0;
EastNimba;termite_fishing_with_tool;termite;1;0;
EastNimba;underground_perforation_with_toolset;perforate honey/termites;2;0;
EastNimba;water_dipping;water;1;0;
Gashaka;accumulative_stone_throwing;communication;2;0;PanAf Data
Gashaka;algae_fishing_with_tool;algae;1;0;"\Sommer and Ross (Eds.) 2011 Primates of Gashaka: Socioecology and Conservation in Nigeria's Biodiversity Hotspot. Springer: New York, USA\"""""
Gashaka;ant_dipping_with_tool;ant;1;1;Fowler et al. 2007 Leaf-swallowing in Nigerian Chimpanzees: Evidence for Assumed Self-medication Primates 48: 73-76
Gashaka;ant_eating_without_tools;ant;0;0;Sommer et al. 2012 Till the Last Drop: Honey Gathering in Nigerian Chimpanzees Ecotropica 18:55-64
Gashaka;ant_fishing_with_tool;ant;1;1;Pascual-Garrido et al. 2012 Obtaining Raw Material: Plants as Tool Sources for Nigerian Chimpanzees Folia Primatologica 83: 24-44
Gashaka;cave_use;thermoregulation;0;0;
Gashaka;ground_nest;ground protection;0;0;
Gashaka;honey_aerial_with_tool;honey;1;1;Sommer et al. 2012 Till the Last Drop: Honey Gathering in Nigerian Chimpanzees Ecotropica 18:55-64
Gashaka;honey_aerial_with_toolset;honey;2;0;
Gashaka;honey_eating_without_tools;honey;0;0;
Gashaka;leaf_clipping;communication;1;0;
Gashaka;leaf_cushion;ground protection;0;0;
Gashaka;leaf_sponge;water;1;0;
Gashaka;marrow_pick;vertebrates;1;0;
Gashaka;nut_cracking;nut;2;0;
Gashaka;stone_throwing;communication;1;0;
Gashaka;termite_eating_without_tools;termite;0;0;
Gashaka;termite_fishing_with_tool;termite;1;0;
Gashaka;underground_perforation_with_toolset;perforate honey/termites;2;1;
Gashaka;water_dipping;water;1;0;
Gishwati;accumulative_stone_throwing;communication;2;0;PanAf Data
Gishwati;algae_fishing_with_tool;algae;1;0;
Gishwati;ant_dipping_with_tool;ant;1;0;
Gishwati;ant_eating_without_tools;ant;0;0;
Gishwati;ant_fishing_with_tool;ant;1;0;
Gishwati;cave_use;thermoregulation;0;0;
Gishwati;ground_nest;ground protection;0;0;
Gishwati;honey_aerial_with_tool;honey;1;0;
Gishwati;honey_aerial_with_toolset;honey;2;0;
Gishwati;honey_eating_without_tools;honey;0;0;
Gishwati;leaf_clipping;communication;1;0;
Gishwati;leaf_cushion;ground protection;0;0;
Gishwati;leaf_sponge;water;1;0;
Gishwati;marrow_pick;vertebrates;1;0;
Gishwati;nut_cracking;nut;2;0;
Gishwati;stone_throwing;communication;1;0;
Gishwati;termite_eating_without_tools;termite;0;0;
Gishwati;termite_fishing_with_tool;termite;1;0;
Gishwati;underground_perforation_with_toolset;perforate honey/termites;2;0;
Gishwati;water_dipping;water;1;0;
Goualougo;accumulative_stone_throwing;communication;2;0;PanAf Data
Goualougo;algae_fishing_with_tool;algae;1;0;"\Boesch 2012 Wild Cultures: A Comparison between Chimpanzee and Human Cultures. Cambridge University Press: Cambridge, UK.\"""""
Goualougo;ant_dipping_with_tool;ant;1;1;"\Sanz and Morgan 2007 Chimpanzee Tool Technology in the Goualougo Triangle, Republic of Congo Journal of Human Evolution 52: 420-433\"""""
Goualougo;ant_eating_without_tools;ant;0;0;Sanz et al. 2010 Chimpanzees Prey on Army Ants with Specialized Tool Set American Journal of Primatology 72: 17-24
Goualougo;ant_fishing_with_tool;ant;1;0;Sanz and Morgan 2011 Elemental Variation in the Termite Fishing of Wild Chimpanzees (Pan troglodytes) Biology Letters 7: 634-637.
Goualougo;cave_use;thermoregulation;0;0;
Goualougo;ground_nest;ground protection;0;0;
Goualougo;honey_aerial_with_tool;honey;1;1;
Goualougo;honey_aerial_with_toolset;honey;2;1;
Goualougo;honey_eating_without_tools;honey;0;1;
Goualougo;leaf_clipping;communication;1;0;
Goualougo;leaf_cushion;ground protection;0;1;
Goualougo;leaf_sponge;water;1;1;
Goualougo;marrow_pick;vertebrates;1;1;
Goualougo;nut_cracking;nut;2;0;
Goualougo;stone_throwing;communication;1;1;
Goualougo;termite_eating_without_tools;termite;0;0;
Goualougo;termite_fishing_with_tool;termite;1;1;
Goualougo;underground_perforation_with_toolset;perforate honey/termites;2;1;
Goualougo;water_dipping;water;1;1;
Grebo;accumulative_stone_throwing;communication;2;0;PanAf Data
Grebo;algae_fishing_with_tool;algae;1;0;
Grebo;ant_dipping_with_tool;ant;1;0;
Grebo;ant_eating_without_tools;ant;0;0;
Grebo;ant_fishing_with_tool;ant;1;0;
Grebo;cave_use;thermoregulation;0;0;
Grebo;ground_nest;ground protection;0;0;
Grebo;honey_aerial_with_tool;honey;1;0;
Grebo;honey_aerial_with_toolset;honey;2;0;
Grebo;honey_eating_without_tools;honey;0;0;
Grebo;leaf_clipping;communication;1;0;
Grebo;leaf_cushion;ground protection;0;0;
Grebo;leaf_sponge;water;1;0;
Grebo;marrow_pick;vertebrates;1;0;
Grebo;nut_cracking;nut;2;0;
Grebo;stone_throwing;communication;1;0;
Grebo;termite_eating_without_tools;termite;0;0;
Grebo;termite_fishing_with_tool;termite;1;0;
Grebo;underground_perforation_with_toolset;perforate honey/termites;2;0;
Grebo;water_dipping;water;1;0;
Issa-Ugalla;accumulative_stone_throwing;communication;2;0;PanAf Data
Issa-Ugalla;algae_fishing_with_tool;algae;1;0;"\Wondra et al. 2016 A New Report of Chimpanzee Ant-fishing from the Issa Valley, Tanzania African Primates 11: 1-18\"""""
