"","pop1","pop2","dyadID","ones","total","sim","index","simbin"
"414","Kabogo","Mbe","Kabogo_Mbe",86,882165,9.74874314895739e-05,536,10
"404","Issa-Ugalla","Sangaredi","Issa-Ugalla_Sangaredi",272,948370,0.000286807891434778,537,10
"398","Issa-Ugalla","MtCameroon","Issa-Ugalla_MtCameroon",90,859565,0.000104704123597401,538,10
"263","Djouroutou","Gashaka","Djouroutou_Gashaka",258,947194,0.000272383482158882,539,10
"135","Budongo","Goualougo","Budongo_Goualougo",1449,944705,0.00153381214241483,540,10
"553","Sangaredi","Sobeya","Sangaredi_Sobeya",2169,947468,0.00228925937340364,541,10
"193","Comoe","Kabogo","Comoe_Kabogo",94,883541,0.000106390082633404,542,10
"184","Comoe","Conkouati","Comoe_Conkouati",1451,953736,0.00152138537289145,543,10
"25","Bafing","MtCristal","Bafing_MtCristal",120,933542,0.000128542690098571,544,10
"85","Bili-Uele","Mbe","Bili-Uele_Mbe",186,932709,0.000199419111427037,545,10
"312","Gashaka","Issa-Ugalla","Gashaka_Issa-Ugalla",2944,957110,0.00307592648702866,546,10
"448","Korup","MtCristal","Korup_MtCristal",962,946830,0.00101602188354826,547,10
"479","Loango","Sangaredi","Loango_Sangaredi",188,945802,0.000198773104730166,548,10
"202","Comoe","MtCristal","Comoe_MtCristal",767,953270,0.00080459890692039,549,10
"480","Loango","Sapo","Loango_Sapo",713,951718,0.000749171498279953,550,10
"419","Kabogo","Nyungwe","Kabogo_Nyungwe",1498,883085,0.00169632594823828,551,10
"141","Budongo","LaBelgique","Budongo_LaBelgique",193,821404,0.000234963550214024,552,10
"521","MtSangbe","Sangaredi","MtSangbe_Sangaredi",969,938611,0.00103237656494544,553,10
"106","Boe","Goualougo","Boe_Goualougo",310,946379,0.000327564326765492,554,10
"194","Comoe","Kayan","Comoe_Kayan",6083,958030,0.00634948801185767,555,10
"552","Sangaredi","Sapo","Sangaredi_Sapo",1607,948173,0.00169483838919691,556,10
"161","Bwindi","Gashaka","Bwindi_Gashaka",1154,949480,0.00121540211484181,557,10
"317","Gashaka","Loango","Gashaka_Loango",2833,952435,0.002974481198192,558,10
"492","Lope","Sapo","Lope_Sapo",150,942275,0.000159189196359874,559,10
"98","Boe","Bwindi","Boe_Bwindi",291,948579,0.000306774659780577,560,10
"211","Conkouati","Dindefelo","Conkouati_Dindefelo",289,948884,0.000304568313935107,561,10
