site2;site1;dyadID;behaviour;complexity;presence1;presence2;shared;ibdbinary;ibdsource;neprabinary;neprasimilarity;sameregion;samehabitat;distance;min_observationtime_months;lon1;lat1;lon2;lat2;region1;region2;habitat1;habitat2;obstime1;obstime2;z.log.nepra;z.log.geo;z.obstime;z.log.obstime;refug.x;precip.x;refug.y;precip.y;meanref;z.sqrt.ref;meanprecip;z.log.precip
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Water dipping;1;1;0;0;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Kabogo;Bakoun-Sobory_Kabogo;Nut cracking;2;0;NA;NA;0;0;0;8.49E-05;0;0;4860538.406;3;29.23094887;-5.42217031;-11.20404681;11.68425259;E;W;forest;savannah;3;14;-1.03337325;1.139449599;-0.574660079;-1.619355967;371.7130667;97;465.7672566;112;418.7401617;1.379229744;104.5;1.607196437
Bakoun-Sobory;Kabogo;Bakoun-Sobory_Kabogo;Termite eating;0;0;0;0;0;0;0;8.49E-05;0;0;4860538.406;3;29.23094887;-5.42217031;-11.20404681;11.68425259;E;W;forest;savannah;3;14;-1.03337325;1.139449599;-0.574660079;-1.619355967;371.7130667;97;465.7672566;112;418.7401617;1.379229744;104.5;1.607196437
Bakoun-Sobory;Kabogo;Bakoun-Sobory_Kabogo;Termite fishing;1;0;1;0;0;0;0;8.49E-05;0;0;4860538.406;3;29.23094887;-5.42217031;-11.20404681;11.68425259;E;W;forest;savannah;3;14;-1.03337325;1.139449599;-0.574660079;-1.619355967;371.7130667;97;465.7672566;112;418.7401617;1.379229744;104.5;1.607196437
Bakoun-Sobory;Kabogo;Bakoun-Sobory_Kabogo;Underground toolset;2;0;0;0;0;0;0;8.49E-05;0;0;4860538.406;3;29.23094887;-5.42217031;-11.20404681;11.68425259;E;W;forest;savannah;3;14;-1.03337325;1.139449599;-0.574660079;-1.619355967;371.7130667;97;465.7672566;112;418.7401617;1.379229744;104.5;1.607196437
Bakoun-Sobory;Kabogo;Bakoun-Sobory_Kabogo;Water dipping;1;0;0;0;0;0;0;8.49E-05;0;0;4860538.406;3;29.23094887;-5.42217031;-11.20404681;11.68425259;E;W;forest;savannah;3;14;-1.03337325;1.139449599;-0.574660079;-1.619355967;371.7130667;97;465.7672566;112;418.7401617;1.379229744;104.5;1.607196437
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Honey above-ground;1;0;0;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Honey eating;0;0;1;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Ant dipping;1;0;1;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Honey toolset;2;0;0;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
